prediction,class,individual,comparison_instances,simple_edit,edit_sub,Distances_edit,Distances_edit_sub,Likeliness_scores_edit,Likeliness_scores_edit_sub,positive examples,negative examples
Thing,Person,F9M157,None,None,None,None,None,None,None,"('http://www.benchmark.org/family#F9M162', 'http://www.benchmark.org/family#F9M151', 'http://www.benchmark.org/family#F3M45', 'http://www.benchmark.org/family#F6F84', 'http://www.benchmark.org/family#F3M51', 'http://www.benchmark.org/family#F2F26', 'http://www.benchmark.org/family#F6F97', 'http://www.benchmark.org/family#F2F10', 'http://www.benchmark.org/family#F6M85', 'http://www.benchmark.org/family#F2F33')","('http://www.benchmark.org/family#F4M59', 'http://www.benchmark.org/family#F10F174', 'http://www.benchmark.org/family#F10F195', 'http://www.benchmark.org/family#F9M162', 'http://www.benchmark.org/family#F7F114', 'http://www.benchmark.org/family#F10M182', 'http://www.benchmark.org/family#F2M13', 'http://www.benchmark.org/family#F9F169', 'http://www.benchmark.org/family#F2M23', 'http://www.benchmark.org/family#F3F46')"
Thing,Male,F4F55,None,None,None,None,None,None,None,"('http://www.benchmark.org/family#F4M59', 'http://www.benchmark.org/family#F3M45', 'http://www.benchmark.org/family#F7M128', 'http://www.benchmark.org/family#F10M199', 'http://www.benchmark.org/family#F10M180', 'http://www.benchmark.org/family#F10M188', 'http://www.benchmark.org/family#F6M100', 'http://www.benchmark.org/family#F7M115', 'http://www.benchmark.org/family#F10M183', 'http://www.benchmark.org/family#F3M51')","('http://www.benchmark.org/family#F7M117', 'http://www.benchmark.org/family#F6M73', 'http://www.benchmark.org/family#F2F30', 'http://www.benchmark.org/family#F2M31', 'http://www.benchmark.org/family#F9M162', 'http://www.benchmark.org/family#F9F158', 'http://www.benchmark.org/family#F9M149', 'http://www.benchmark.org/family#F7F124', 'http://www.benchmark.org/family#F9M146', 'http://www.benchmark.org/family#F7F118')"
hasSibling some Thing,Brother,F10M188,None,None,None,None,None,None,None,"('http://www.benchmark.org/family#F10M188', 'http://www.benchmark.org/family#F10M183', 'http://www.benchmark.org/family#F3M44', 'http://www.benchmark.org/family#F2M13', 'http://www.benchmark.org/family#F2M18', 'http://www.benchmark.org/family#F9M166', 'http://www.benchmark.org/family#F10M173', 'http://www.benchmark.org/family#F7M117', 'http://www.benchmark.org/family#F6M71', 'http://www.benchmark.org/family#F2M11')","('http://www.benchmark.org/family#F3M44', 'http://www.benchmark.org/family#F10F185', 'http://www.benchmark.org/family#F9M151', 'http://www.benchmark.org/family#F7M102', 'http://www.benchmark.org/family#F9M161', 'http://www.benchmark.org/family#F6M78', 'http://www.benchmark.org/family#F10M187', 'http://www.benchmark.org/family#F10M178', 'http://www.benchmark.org/family#F7M117', 'http://www.benchmark.org/family#F9M155')"
Male and (hasChild some Thing),"OWLClass(IRI('http://www.benchmark.org/family#','Father'))",F9M146,"[OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F9F160')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F1F3')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F2M27')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F4M54')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F2M31')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F7M123')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F4F55')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F6F87')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F2F10')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F2F38'))]","['0', 0, '1', 0]","['1', -1.0]","{'subconcept0': ""OWLClass(IRI('http://www.benchmark.org/family#','Male'))"", '0': '1', 'subconcept1': ""OWLObjectSomeValuesFrom(property=OWLObjectProperty(IRI('http://www.benchmark.org/family#','hasChild')),filler=OWLClass(IRI('http://www.w3.org/2002/07/owl#','Thing')))"", '1': '1'}","{'subconcept0': ""OWLClass(IRI('http://www.benchmark.org/family#','Male'))"", '0': '2', 'subconcept1': ""OWLObjectSomeValuesFrom(property=OWLObjectProperty(IRI('http://www.benchmark.org/family#','hasChild')),filler=OWLClass(IRI('http://www.w3.org/2002/07/owl#','Thing')))"", '1': '1'}","{'0': '1', '1': '1'}","{'0': '2', '1': '2'}","('http://www.benchmark.org/family#F2M34', 'http://www.benchmark.org/family#F9M139', 'http://www.benchmark.org/family#F6M98', 'http://www.benchmark.org/family#F6M88', 'http://www.benchmark.org/family#F10M188', 'http://www.benchmark.org/family#F7M109', 'http://www.benchmark.org/family#F10M197', 'http://www.benchmark.org/family#F7M123', 'http://www.benchmark.org/family#F8M132', 'http://www.benchmark.org/family#F1M4')","('http://www.benchmark.org/family#F3M40', 'http://www.benchmark.org/family#F6F76', 'http://www.benchmark.org/family#F7M117', 'http://www.benchmark.org/family#F9F156', 'http://www.benchmark.org/family#F6F97', 'http://www.benchmark.org/family#F9F145', 'http://www.benchmark.org/family#F5F61', 'http://www.benchmark.org/family#F10M173', 'http://www.benchmark.org/family#F7F116', 'http://www.benchmark.org/family#F1F5')"
Male and (hasChild some Thing),"OWLClass(IRI('http://www.benchmark.org/family#','Grandfather'))",F2M21,"[OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F10F193')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F9M144')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F2M23')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F2F38')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F10M176')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F9F158')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F9M161')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F7M109')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F2M35')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F6M100'))]","['1', -1.0]","['1', -1.0]","{'subconcept0': ""OWLClass(IRI('http://www.benchmark.org/family#','Male'))"", '0': '1', 'subconcept1': ""OWLObjectSomeValuesFrom(property=OWLObjectProperty(IRI('http://www.benchmark.org/family#','hasChild')),filler=OWLClass(IRI('http://www.w3.org/2002/07/owl#','Thing')))"", '1': '1'}","{'subconcept0': ""OWLClass(IRI('http://www.benchmark.org/family#','Male'))"", '0': '5', 'subconcept1': ""OWLObjectSomeValuesFrom(property=OWLObjectProperty(IRI('http://www.benchmark.org/family#','hasChild')),filler=OWLClass(IRI('http://www.w3.org/2002/07/owl#','Thing')))"", '1': '1'}","{'0': '3', '1': '2'}","{'0': '3', '1': '3'}","('http://www.benchmark.org/family#F2M9', 'http://www.benchmark.org/family#F6M92', 'http://www.benchmark.org/family#F2M11', 'http://www.benchmark.org/family#F6M85', 'http://www.benchmark.org/family#F5M60', 'http://www.benchmark.org/family#F2M21', 'http://www.benchmark.org/family#F10M171', 'http://www.benchmark.org/family#F3M43', 'http://www.benchmark.org/family#F2M20', 'http://www.benchmark.org/family#F3M47')","('http://www.benchmark.org/family#F1M8', 'http://www.benchmark.org/family#F2F14', 'http://www.benchmark.org/family#F10M171', 'http://www.benchmark.org/family#F3F53', 'http://www.benchmark.org/family#F7F119', 'http://www.benchmark.org/family#F8F137', 'http://www.benchmark.org/family#F2M32', 'http://www.benchmark.org/family#F7M117', 'http://www.benchmark.org/family#F6F83', 'http://www.benchmark.org/family#F3M44')"
Son and (hasParent some Child),"OWLClass(IRI('http://www.benchmark.org/family#','Grandson'))",F2M21,"[OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F2F28')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F2M18')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F10F195')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F2F36')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F6F101')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F7M110')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F9F143')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F3M40')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F2F38')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F7F103'))]","['1', -1.0]","['1', -1.0]","{'subconcept0': ""OWLClass(IRI('http://www.benchmark.org/family#','Son'))"", '0': '1', 'subconcept1': ""OWLObjectSomeValuesFrom(property=OWLObjectProperty(IRI('http://www.benchmark.org/family#','hasParent')),filler=OWLClass(IRI('http://www.benchmark.org/family#','Child')))"", '1': '1'}","{'subconcept0': ""OWLClass(IRI('http://www.benchmark.org/family#','Son'))"", '0': '1', 'subconcept1': ""OWLObjectSomeValuesFrom(property=OWLObjectProperty(IRI('http://www.benchmark.org/family#','hasParent')),filler=OWLClass(IRI('http://www.benchmark.org/family#','Child')))"", '1': '1'}","{'0': '2', '1': '1'}","{'0': '3', '1': '2'}","('http://www.benchmark.org/family#F9M147', 'http://www.benchmark.org/family#F2M18', 'http://www.benchmark.org/family#F6M75', 'http://www.benchmark.org/family#F3M51', 'http://www.benchmark.org/family#F2M13', 'http://www.benchmark.org/family#F10M188', 'http://www.benchmark.org/family#F7M115', 'http://www.benchmark.org/family#F9M159', 'http://www.benchmark.org/family#F2M32', 'http://www.benchmark.org/family#F3M44')","('http://www.benchmark.org/family#F1F7', 'http://www.benchmark.org/family#F6M98', 'http://www.benchmark.org/family#F2F15', 'http://www.benchmark.org/family#F6F77', 'http://www.benchmark.org/family#F7M131', 'http://www.benchmark.org/family#F9F152', 'http://www.benchmark.org/family#F5M66', 'http://www.benchmark.org/family#F2M11', 'http://www.benchmark.org/family#F9M167', 'http://www.benchmark.org/family#F2F33')"
Male and (hasParent some Thing),"OWLClass(IRI('http://www.benchmark.org/family#','Son'))",F9M147,"[OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F10F189')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F2F19')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F10F186')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F2M13')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F7M109')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F9F160')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F6F79')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F6F74')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F1M8')), OWLNamedIndividual(IRI('http://www.benchmark.org/family#','F3M43'))]","['0', 0]","['0', 0.0, '1', 0.0]","{'subconcept0': ""OWLClass(IRI('http://www.benchmark.org/family#','Male'))"", '0': '1', 'subconcept1': ""OWLObjectSomeValuesFrom(property=OWLObjectProperty(IRI('http://www.benchmark.org/family#','hasParent')),filler=OWLClass(IRI('http://www.w3.org/2002/07/owl#','Thing')))"", '1': '2'}","{'subconcept0': ""OWLClass(IRI('http://www.benchmark.org/family#','Male'))"", '0': '3', 'subconcept1': ""OWLObjectSomeValuesFrom(property=OWLObjectProperty(IRI('http://www.benchmark.org/family#','hasParent')),filler=OWLClass(IRI('http://www.w3.org/2002/07/owl#','Thing')))"", '1': '2'}","{'0': '3', '1': '3'}","{'0': '4', '1': '6'}","('http://www.benchmark.org/family#F2M11', 'http://www.benchmark.org/family#F7M113', 'http://www.benchmark.org/family#F7M131', 'http://www.benchmark.org/family#F10M197', 'http://www.benchmark.org/family#F9M147', 'http://www.benchmark.org/family#F3M45', 'http://www.benchmark.org/family#F7M117', 'http://www.benchmark.org/family#F6M99', 'http://www.benchmark.org/family#F6M75', 'http://www.benchmark.org/family#F6M92')","('http://www.benchmark.org/family#F7M122', 'http://www.benchmark.org/family#F3M43', 'http://www.benchmark.org/family#F9M165', 'http://www.benchmark.org/family#F7M130', 'http://www.benchmark.org/family#F2F19', 'http://www.benchmark.org/family#F10M197', 'http://www.benchmark.org/family#F8F137', 'http://www.benchmark.org/family#F6M92', 'http://www.benchmark.org/family#F10F174', 'http://www.benchmark.org/family#F1M8')"
hasSibling some Thing,PersonWithASibling,F6F97,None,None,None,None,None,None,None,"('http://www.benchmark.org/family#F10F201', 'http://www.benchmark.org/family#F10M188', 'http://www.benchmark.org/family#F3F53', 'http://www.benchmark.org/family#F2M32', 'http://www.benchmark.org/family#F2F33', 'http://www.benchmark.org/family#F5M64', 'http://www.benchmark.org/family#F10F175', 'http://www.benchmark.org/family#F10M184', 'http://www.benchmark.org/family#F10F186', 'http://www.benchmark.org/family#F3F52')","('http://www.benchmark.org/family#F2M32', 'http://www.benchmark.org/family#F2M11', 'http://www.benchmark.org/family#F7M104', 'http://www.benchmark.org/family#F10F193', 'http://www.benchmark.org/family#F4M57', 'http://www.benchmark.org/family#F6M71', 'http://www.benchmark.org/family#F8M136', 'http://www.benchmark.org/family#F6M92', 'http://www.benchmark.org/family#F9F152', 'http://www.benchmark.org/family#F2F17')"
